unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1594080000,2020-07-07 00:00:00,EOS/USD,2.611,2.625,2.523,2.556,1131448.47,440519.4
1593993600,2020-07-06 00:00:00,EOS/USD,2.41,2.639,2.402,2.611,1578645.05,626919.5
1593907200,2020-07-05 00:00:00,EOS/USD,2.46,2.474,2.328,2.41,497110.79,206108.3
1593820800,2020-07-04 00:00:00,EOS/USD,2.418,2.497,2.411,2.46,651762.61,265061.3
1593734400,2020-07-03 00:00:00,EOS/USD,2.359,2.458,2.35,2.418,940187.91,388971.7
1593648000,2020-07-02 00:00:00,EOS/USD,2.378,2.388,2.304,2.359,1094597.35,465490.7
1593561600,2020-07-01 00:00:00,EOS/USD,2.367,2.4,2.354,2.378,184618.4,77603.5
1593475200,2020-06-30 00:00:00,EOS/USD,2.379,2.387,2.343,2.367,426429.47,180463.5
1593388800,2020-06-29 00:00:00,EOS/USD,2.368,2.417,2.322,2.379,848608.6,358336.8
1593302400,2020-06-28 00:00:00,EOS/USD,2.329,2.461,2.25,2.368,656863.12,277513.4
1593216000,2020-06-27 00:00:00,EOS/USD,2.477,2.481,2.18,2.329,1765745.66,752700.4
1593129600,2020-06-26 00:00:00,EOS/USD,2.478,2.51,2.385,2.477,1052799.24,428409.2
1593043200,2020-06-25 00:00:00,EOS/USD,2.496,2.527,2.428,2.478,928704.29,374202.4
1592956800,2020-06-24 00:00:00,EOS/USD,2.569,2.596,2.455,2.496,970353.01,385581.9
1592870400,2020-06-23 00:00:00,EOS/USD,2.586,2.597,2.556,2.569,719719.36,279550.4
1592784000,2020-06-22 00:00:00,EOS/USD,2.512,2.605,2.506,2.586,1003816.99,391421.7
1592697600,2020-06-21 00:00:00,EOS/USD,2.537,2.555,2.506,2.512,309210.33,122286.0
1592611200,2020-06-20 00:00:00,EOS/USD,2.522,2.555,2.45,2.537,805622.68,320901.8
1592524800,2020-06-19 00:00:00,EOS/USD,2.534,2.548,2.499,2.522,695063.79,275249.6
1592438400,2020-06-18 00:00:00,EOS/USD,2.567,2.573,2.495,2.534,730413.04,287690.0
1592352000,2020-06-17 00:00:00,EOS/USD,2.552,2.605,2.513,2.567,752975.86,294024.8
1592265600,2020-06-16 00:00:00,EOS/USD,2.531,2.567,2.521,2.552,752373.82,295607.9
1592179200,2020-06-15 00:00:00,EOS/USD,2.566,2.568,2.42,2.531,1916309.64,769742.5
1592092800,2020-06-14 00:00:00,EOS/USD,2.603,2.608,2.525,2.566,781213.04,304590.0
1592006400,2020-06-13 00:00:00,EOS/USD,2.598,2.619,2.551,2.603,714163.6,276086.7
1591920000,2020-06-12 00:00:00,EOS/USD,2.512,2.622,2.485,2.598,1176204.25,459002.2
1591833600,2020-06-11 00:00:00,EOS/USD,2.759,2.776,2.423,2.512,2632192.17,1016042.4
1591747200,2020-06-10 00:00:00,EOS/USD,2.752,2.787,2.709,2.759,1788978.32,650640.7
1591660800,2020-06-09 00:00:00,EOS/USD,2.789,2.803,2.678,2.752,1865212.73,679041.7
1591574400,2020-06-08 00:00:00,EOS/USD,2.812,2.82,2.752,2.789,1089365.1,392173.1
1591488000,2020-06-07 00:00:00,EOS/USD,2.798,2.828,2.733,2.812,816578.77,293496.3
1591401600,2020-06-06 00:00:00,EOS/USD,2.814,2.843,2.768,2.798,1074786.21,382684.3
1591315200,2020-06-05 00:00:00,EOS/USD,2.722,2.868,2.707,2.814,2583371.86,922955.6
1591228800,2020-06-04 00:00:00,EOS/USD,2.698,2.749,2.664,2.722,1170228.83,430377.0
1591142400,2020-06-03 00:00:00,EOS/USD,2.681,2.708,2.635,2.698,904608.93,338541.0
1591056000,2020-06-02 00:00:00,EOS/USD,2.821,2.889,2.585,2.681,2582430.73,943072.8
1590969600,2020-06-01 00:00:00,EOS/USD,2.672,2.836,2.662,2.821,1653425.66,605652.1
1590883200,2020-05-31 00:00:00,EOS/USD,2.77,2.772,2.645,2.672,1189345.88,437856.3
1590796800,2020-05-30 00:00:00,EOS/USD,2.615,2.783,2.596,2.77,1202948.93,445483.6
1590710400,2020-05-29 00:00:00,EOS/USD,2.611,2.669,2.589,2.615,1058333.67,402198.1
1590624000,2020-05-28 00:00:00,EOS/USD,2.571,2.62,2.518,2.611,1194108.01,463846.9
1590537600,2020-05-27 00:00:00,EOS/USD,2.503,2.577,2.5,2.571,812729.58,319940.0
1590451200,2020-05-26 00:00:00,EOS/USD,2.53,2.536,2.456,2.503,776077.21,309941.9
1590364800,2020-05-25 00:00:00,EOS/USD,2.488,2.547,2.447,2.53,819797.9,326625.0
1590278400,2020-05-24 00:00:00,EOS/USD,2.565,2.61,2.485,2.488,1278883.41,500732.3
1590192000,2020-05-23 00:00:00,EOS/USD,2.593,2.624,2.545,2.565,729023.32,282405.2
1590105600,2020-05-22 00:00:00,EOS/USD,2.459,2.638,2.439,2.593,2254339.46,886411.5
1590019200,2020-05-21 00:00:00,EOS/USD,2.597,2.615,2.402,2.459,1601458.93,641767.8
1589932800,2020-05-20 00:00:00,EOS/USD,2.654,2.676,2.5,2.597,1999691.17,762647.2
1589846400,2020-05-19 00:00:00,EOS/USD,2.663,2.668,2.569,2.654,1299857.68,495929.8
1589760000,2020-05-18 00:00:00,EOS/USD,2.617,2.748,2.607,2.663,1807548.64,676209.9
1589673600,2020-05-17 00:00:00,EOS/USD,2.636,2.674,2.597,2.617,824473.81,312494.2
1589587200,2020-05-16 00:00:00,EOS/USD,2.582,2.684,2.57,2.636,1224473.18,464707.3
