unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1585612800,2020-03-31 00:00:00,XLM/USD,0.04006,0.04113,0.04002,0.04088,674754.88,16609790
1585526400,2020-03-30 00:00:00,XLM/USD,0.0378,0.0412,0.03762,0.04006,1232011.12,30862376
1585440000,2020-03-29 00:00:00,XLM/USD,0.04013,0.0402,0.03773,0.0378,947827.44,24285561
1585353600,2020-03-28 00:00:00,XLM/USD,0.0405,0.04082,0.0388,0.04013,1330812.72,33507355
1585267200,2020-03-27 00:00:00,XLM/USD,0.04302,0.04372,0.0402,0.0405,1925906.15,45610500
1585180800,2020-03-26 00:00:00,XLM/USD,0.04062,0.0431,0.03992,0.04302,1615501.47,39217845
1585094400,2020-03-25 00:00:00,XLM/USD,0.04058,0.04112,0.0392,0.04062,1171004.57,29245964
1585008000,2020-03-24 00:00:00,XLM/USD,0.03953,0.04075,0.03909,0.04058,1814733.83,45420000
1584921600,2020-03-23 00:00:00,XLM/USD,0.03676,0.04047,0.03619,0.03953,1721090.75,44942038
1584835200,2020-03-22 00:00:00,XLM/USD,0.03969,0.04058,0.0365,0.03676,1431634.48,37424517
1584748800,2020-03-21 00:00:00,XLM/USD,0.0399,0.04098,0.038,0.03969,1058079.43,26719687
1584662400,2020-03-20 00:00:00,XLM/USD,0.04151,0.04518,0.03542,0.0399,3674203.83,89596556
1584576000,2020-03-19 00:00:00,XLM/USD,0.03709,0.0433,0.03673,0.04151,3146801.11,78637697
1584489600,2020-03-18 00:00:00,XLM/USD,0.03746,0.03803,0.03424,0.03709,1769562.67,48956271
1584403200,2020-03-17 00:00:00,XLM/USD,0.03538,0.0385,0.03497,0.03746,1688492.07,45500920
1584316800,2020-03-16 00:00:00,XLM/USD,0.03779,0.03798,0.03127,0.03538,2685879.61,77493406
1584230400,2020-03-15 00:00:00,XLM/USD,0.0367,0.04096,0.03621,0.03779,1953713.5,51259841
1584144000,2020-03-14 00:00:00,XLM/USD,0.04024,0.0407,0.03621,0.0367,1887944.35,48963350
1584057600,2020-03-13 00:00:00,XLM/USD,0.03343,0.0492,0.02614,0.04024,7701913.52,210216982
1583971200,2020-03-12 00:00:00,XLM/USD,0.05038,0.05061,0.03135,0.03343,7321492.53,181820925
1583884800,2020-03-11 00:00:00,XLM/USD,0.05195,0.05262,0.0473,0.05038,1308894.77,26151409
1583798400,2020-03-10 00:00:00,XLM/USD,0.05249,0.05337,0.05071,0.05195,1914051.72,36855493
1583712000,2020-03-09 00:00:00,XLM/USD,0.0498,0.0525,0.047,0.05249,3289584.09,65799868
1583625600,2020-03-08 00:00:00,XLM/USD,0.05846,0.05846,0.04855,0.0498,3130284.79,58828816
1583539200,2020-03-07 00:00:00,XLM/USD,0.0615,0.06178,0.05796,0.05846,1433515.93,23865800
1583452800,2020-03-06 00:00:00,XLM/USD,0.05973,0.06158,0.05927,0.0615,1498862.31,24890985
1583366400,2020-03-05 00:00:00,XLM/USD,0.05863,0.06106,0.05861,0.05973,1971646.2,32769440
1583280000,2020-03-04 00:00:00,XLM/USD,0.05822,0.05917,0.05769,0.05863,1573144.06,26940690
1583193600,2020-03-03 00:00:00,XLM/USD,0.05972,0.06044,0.05756,0.05822,1549167.26,26334624
1583107200,2020-03-02 00:00:00,XLM/USD,0.0558,0.0604,0.05553,0.05972,2250373.93,38326833
1583020800,2020-03-01 00:00:00,XLM/USD,0.05692,0.0585,0.05486,0.0558,2230002.12,39406238
1582934400,2020-02-29 00:00:00,XLM/USD,0.05846,0.05992,0.05684,0.05692,1340829.18,23017426
1582848000,2020-02-28 00:00:00,XLM/USD,0.06011,0.06148,0.0563,0.05846,2113755.53,36131166
1582761600,2020-02-27 00:00:00,XLM/USD,0.05878,0.0631,0.056,0.06011,3492562.28,57903359
1582675200,2020-02-26 00:00:00,XLM/USD,0.06409,0.06452,0.05564,0.05878,4092102.38,68223739
1582588800,2020-02-25 00:00:00,XLM/USD,0.0691,0.06923,0.06321,0.06409,2458015.0,37375582
1582502400,2020-02-24 00:00:00,XLM/USD,0.07332,0.07367,0.0669,0.0691,2190835.27,31383188
1582416000,2020-02-23 00:00:00,XLM/USD,0.07046,0.07344,0.07004,0.07332,1345132.95,18628466
1582329600,2020-02-22 00:00:00,XLM/USD,0.071,0.07164,0.06924,0.07046,1123020.14,15930235
1582243200,2020-02-21 00:00:00,XLM/USD,0.07066,0.07285,0.06943,0.071,1898853.85,26640186
1582156800,2020-02-20 00:00:00,XLM/USD,0.07,0.07166,0.06722,0.07066,3658260.48,52536287
1582070400,2020-02-19 00:00:00,XLM/USD,0.07613,0.07985,0.068,0.07,4501653.61,60383031
1581984000,2020-02-18 00:00:00,XLM/USD,0.07284,0.07704,0.07018,0.07613,3629642.46,48894447
1581897600,2020-02-17 00:00:00,XLM/USD,0.07455,0.0752,0.06699,0.07284,4422160.99,63002663
1581811200,2020-02-16 00:00:00,XLM/USD,0.07894,0.08154,0.06624,0.07455,6169182.27,84217333
1581724800,2020-02-15 00:00:00,XLM/USD,0.08689,0.08889,0.07525,0.07894,5350265.81,65731877
1581638400,2020-02-14 00:00:00,XLM/USD,0.08357,0.08756,0.08,0.08689,5323822.62,63038749
1581552000,2020-02-13 00:00:00,XLM/USD,0.08008,0.0885,0.0789,0.08357,8299520.69,98470611
1581465600,2020-02-12 00:00:00,XLM/USD,0.07406,0.08276,0.07406,0.08008,7961826.04,100601841
1581379200,2020-02-11 00:00:00,XLM/USD,0.07052,0.07505,0.06876,0.07406,3092920.84,42650449
1581292800,2020-02-10 00:00:00,XLM/USD,0.07347,0.07383,0.06839,0.07052,2214746.75,31256333
1581206400,2020-02-09 00:00:00,XLM/USD,0.071,0.07399,0.07085,0.07347,2871396.43,39548910
1581120000,2020-02-08 00:00:00,XLM/USD,0.07198,0.07223,0.06732,0.071,3019687.9,42884043
1581033600,2020-02-07 00:00:00,XLM/USD,0.07114,0.07378,0.07072,0.07198,3104694.8,43086471
1580947200,2020-02-06 00:00:00,XLM/USD,0.06909,0.0719,0.06734,0.07114,3034137.64,43391144
1580860800,2020-02-05 00:00:00,XLM/USD,0.066,0.06975,0.06576,0.06909,3367756.79,49557983
1580774400,2020-02-04 00:00:00,XLM/USD,0.06413,0.06774,0.06164,0.066,3257825.01,50232881
1580688000,2020-02-03 00:00:00,XLM/USD,0.06338,0.06591,0.06248,0.06413,1510542.12,23722400
1580601600,2020-02-02 00:00:00,XLM/USD,0.06223,0.06605,0.06072,0.06338,2504744.76,39121811
1580515200,2020-02-01 00:00:00,XLM/USD,0.06051,0.06245,0.06037,0.06223,1285680.09,20881579
