unix,date,symbol,open,high,low,close,Volume LIN,Volume USD
1591401600,2020-06-06 00:00:00,LINK/USD,4.355,4.397,4.28,4.353,3494236.23,804360.12
1591315200,2020-06-05 00:00:00,LINK/USD,4.431,4.482,4.335,4.355,4523831.88,1025548.63
1591228800,2020-06-04 00:00:00,LINK/USD,4.486,4.508,4.285,4.431,6108832.47,1381779.86
1591142400,2020-06-03 00:00:00,LINK/USD,4.406,4.529,4.3,4.486,7975714.81,1799402.11
1591056000,2020-06-02 00:00:00,LINK/USD,4.38,4.62,4.09,4.406,16746414.19,3806628.72
1590969600,2020-06-01 00:00:00,LINK/USD,4.132,4.477,4.114,4.38,14122666.02,3231662.58
1590883200,2020-05-31 00:00:00,LINK/USD,4.176,4.287,4.04,4.132,7988852.93,1909533.73
1590796800,2020-05-30 00:00:00,LINK/USD,3.979,4.18,3.938,4.176,4761831.42,1158706.3
1590710400,2020-05-29 00:00:00,LINK/USD,4.049,4.12,3.947,3.979,6160168.45,1528965.81
1590624000,2020-05-28 00:00:00,LINK/USD,3.857,4.07,3.827,4.049,6435255.23,1630925.66
1590537600,2020-05-27 00:00:00,LINK/USD,3.845,3.92,3.81,3.857,4527785.36,1170362.83
1590451200,2020-05-26 00:00:00,LINK/USD,3.862,3.883,3.764,3.845,5144854.5,1345097.16
1590364800,2020-05-25 00:00:00,LINK/USD,3.792,3.906,3.77,3.862,5708181.49,1483508.85
1590278400,2020-05-24 00:00:00,LINK/USD,3.929,4.029,3.79,3.792,8406452.98,2154777.59
1590192000,2020-05-23 00:00:00,LINK/USD,4.056,4.108,3.913,3.929,8550257.06,2139682.86
1590105600,2020-05-22 00:00:00,LINK/USD,3.829,4.146,3.79,4.056,12958966.16,3262173.86
1590019200,2020-05-21 00:00:00,LINK/USD,4.088,4.173,3.721,3.829,18232368.88,4627711.92
1589932800,2020-05-20 00:00:00,LINK/USD,3.95,4.14,3.853,4.088,18262607.15,4518131.16
1589846400,2020-05-19 00:00:00,LINK/USD,3.888,3.95,3.77,3.95,4667423.13,1208011.89
1589760000,2020-05-18 00:00:00,LINK/USD,3.785,3.948,3.778,3.888,8159713.69,2102077.39
1589673600,2020-05-17 00:00:00,LINK/USD,3.757,3.85,3.751,3.785,5139784.43,1352783.61
1589587200,2020-05-16 00:00:00,LINK/USD,3.659,3.791,3.615,3.757,6119619.65,1641910.48
1589500800,2020-05-15 00:00:00,LINK/USD,3.806,3.836,3.601,3.659,8100743.77,2173354.73
1589414400,2020-05-14 00:00:00,LINK/USD,3.773,3.868,3.7,3.806,7544928.91,1986516.84
1589328000,2020-05-13 00:00:00,LINK/USD,3.698,3.827,3.64,3.773,5994011.35,1605451.51
