unix,date,symbol,open,high,low,close,Volume ETC,Volume USD
1587168000,2020-04-18 00:00:00,ETC/USD,5.387,5.687,5.387,5.661,1095418.72,196388.57
1587081600,2020-04-17 00:00:00,ETC/USD,5.478,5.503,5.329,5.387,518388.89,95687.21
1586995200,2020-04-16 00:00:00,ETC/USD,5.104,5.58,4.868,5.478,1711793.3,323394.02
1586908800,2020-04-15 00:00:00,ETC/USD,5.257,5.368,5.087,5.104,575626.8,110082.21
1586822400,2020-04-14 00:00:00,ETC/USD,5.205,5.361,5.129,5.257,711795.56,135347.96
1586736000,2020-04-13 00:00:00,ETC/USD,5.326,5.326,5.013,5.205,876325.13,170547.46
1586649600,2020-04-12 00:00:00,ETC/USD,5.296,5.517,5.195,5.326,815884.1,151821.24
1586563200,2020-04-11 00:00:00,ETC/USD,5.27,5.415,5.149,5.296,832240.74,157476.53
1586476800,2020-04-10 00:00:00,ETC/USD,5.906,5.933,5.078,5.27,2203397.84,407516.71
1586390400,2020-04-09 00:00:00,ETC/USD,5.829,6.0,5.564,5.906,1808546.71,310576.68
1586304000,2020-04-08 00:00:00,ETC/USD,5.468,5.904,5.366,5.829,2384884.89,416578.28
1586217600,2020-04-07 00:00:00,ETC/USD,5.627,5.837,5.368,5.468,2180310.39,388045.05
1586131200,2020-04-06 00:00:00,ETC/USD,5.042,5.639,5.035,5.627,2304365.09,426327.68
1586044800,2020-04-05 00:00:00,ETC/USD,5.163,5.2,4.936,5.042,650694.87,128345.37
1585958400,2020-04-04 00:00:00,ETC/USD,5.123,5.25,5.045,5.163,560075.54,108948.46
1585872000,2020-04-03 00:00:00,ETC/USD,5.101,5.242,4.986,5.123,667692.46,130515.29
1585785600,2020-04-02 00:00:00,ETC/USD,5.036,5.488,4.973,5.101,1498106.94,291621.51
1585699200,2020-04-01 00:00:00,ETC/USD,4.942,5.06,4.804,5.036,894862.53,180865.57
1585612800,2020-03-31 00:00:00,ETC/USD,4.973,5.014,4.871,4.942,714404.37,144297.37
1585526400,2020-03-30 00:00:00,ETC/USD,4.83,5.08,4.793,4.973,1317979.91,265797.54
1585440000,2020-03-29 00:00:00,ETC/USD,4.839,5.074,4.792,4.83,1359113.34,275801.59
